dataset,fraction,outer,stage,method,seed,rho,status,macro_f1,auprc,far,early_recall,detection_delay,checkpoint_exists,prediction_exists,manifest_exists,hash_valid,test_evaluated,reuse,runtime,checkpoint_sha256,prediction_sha256,result_sha256,artifact_path,validation_only
3W,1.0,31001,formal_locked_test,JITTER_SCALING,42,N/A,COMPLETE_VALID,0.4241375411728855,0.7955771469564096,0.4807400260849368,0.9414848508210624,448.42857142857144,True,True,True,True,True,False,59.4657344999996,f6c639d1e3a43d672c25a76ddfa7a5673fc223532006d5043d5d264d96e1566e,8e234fa9262fe3bd2d3b20fae670c14947cfdd7992498723e6814621591caba1,5d9e32b1569dc2becd183c2c15600e4244b08bf29d6625864dac1a7c3d536c54,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_42\JITTER_SCALING\result.json,False
3W,1.0,31001,formal_locked_test,JITTER_SCALING,43,N/A,COMPLETE_VALID,0.42201716030212033,0.8665655966333273,0.40185095853209696,0.9101071621309074,428.6190476190476,True,True,True,True,True,False,60.097737699999925,d07a0390672dce0b4728e2d5d3598bd7e6c22b6f887d098597c5a0f3ce3062f7,f4cda4728dab2c2bef13681c03d27d9394ccbc4d17de3670a034baeaa21e2015,7c0831bd39317f118396bec786e2691a295a78a0ebea27bbc5f5a374a46cda8e,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_43\JITTER_SCALING\result.json,False
3W,1.0,31001,formal_locked_test,JITTER_SCALING,44,N/A,COMPLETE_VALID,0.3082382958486008,0.7953550624902568,0.39758089010380376,0.9123429188189037,611.4761904761905,True,True,True,True,True,False,64.0229675999999,7925ebac40f17d7994dd7fb706fd28791a3e8a361c0288ac263cefa83a04f436,57d697481b43fa0a44f9f476435bde4406fdb00d2396483172ae602110bb0e3b,9d54a44f740c3480074333e5a0b1ebc347ba386bcdf4120359a4af8554853ccb,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_44\JITTER_SCALING\result.json,False
3W,1.0,31001,formal_locked_test,JITTER_SCALING,45,N/A,COMPLETE_VALID,0.4257863381916066,0.7725004445212317,0.3639920673205767,0.8554853133914117,331.0952380952381,True,True,True,True,True,False,71.54853219999859,828d4d66201f276bc08448a60537055d35d00b2611356611f6d57248f351de14,1cb51518423e70fc28d7f997ea43e455cd6e740b1eacd5dae9028c56e7582d1a,aae159529ecce8ddc841a0e4b85494234c1eaf20980f5a5c51adb7148783ac8e,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_45\JITTER_SCALING\result.json,False
3W,1.0,31001,formal_locked_test,JITTER_SCALING,46,N/A,COMPLETE_VALID,0.13606646958197216,0.8066364389200282,0.8747119043790534,0.9742117030298358,26.333333333333332,True,True,True,True,True,False,58.19867990000057,38bfb32e105ef9db186790d8bab94c886ae48ce6ecca02d341cf4d0a9e2bf416,ca5d04ca395eae6917f65bb751eb5c1931c45ab1d7afb5d9cbfb8da3b2b2ff09,7e10edb57d0c3f75601029ec16e673a7467648bd190bc63284ded2f7ea5dfb20,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_46\JITTER_SCALING\result.json,False
3W,1.0,31001,formal_locked_test,FINAL_QDIFFCL_FIXED,42,N/A,COMPLETE_VALID,0.3677060899662736,0.8085477192212072,0.4250504725661503,0.9281859532803948,654.1428571428571,True,True,True,True,True,False,59.53298509999877,9fedd95c03342f1f204e200e9d3c6a8575d4a3aa2774741ded577d11573f17a6,0ae2f131a8c59e5a9a461d23a51552c00936d7464a3be941ecc8bfa7b96334f0,500de55d5dba28f2de9e6aa6622a9b8b255fede0e30a5680945f3daa1c8ec8a9,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_42\FINAL_QDIFFCL_FIXED\result.json,False
3W,1.0,31001,formal_locked_test,FINAL_QDIFFCL_FIXED,43,N/A,COMPLETE_VALID,0.4272466910637458,0.8707943549753661,0.4043165210555466,0.921093207925372,434.7142857142857,True,True,True,True,True,False,59.37202369999977,e54bbd2e794260fcb5735e0ff37de871779b1cb8312cd8bb76a2f61e4495e3fc,3dec26f4499d99b49e9731354b8296ced0ab58606bfb60f96e5eeeb0093b5904,03b4e432941931c10dbbfd1b81d0609276a4e83508baa0593ceb694732bbab9b,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_43\FINAL_QDIFFCL_FIXED\result.json,False
3W,1.0,31001,formal_locked_test,FINAL_QDIFFCL_FIXED,44,N/A,COMPLETE_VALID,0.4166875337315698,0.7978253027074658,0.39649997320040736,0.9136920823375222,605.3809523809524,True,True,True,True,True,False,60.39165150000008,a316f2e6885e4548928daea78469a581ffc4db96fe7d66021a8484116b2e0889,f645f00b0e2b27d662992b52142f557a874810a0efb768fb6e10e2d1b34e558d,82a49fb2c597ca9bb97007f4a9bfd56d9576489863e581866240d18a122c6b57,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_44\FINAL_QDIFFCL_FIXED\result.json,False
3W,1.0,31001,formal_locked_test,FINAL_QDIFFCL_FIXED,45,N/A,COMPLETE_VALID,0.41742352740479227,0.7629888094428898,0.36846759929249073,0.8581450928995451,320.42857142857144,True,True,True,True,True,False,72.05291430000034,0fb5d97130beab84b420f8d1b69b03bf7b581dfcd48dea9170df84fc98430ed4,eb9f154f613084bb711302112adb7be878d810b8806b1c3f81799aaef72a5a71,29ec162536af2f8e4d85361580e64054cced600147554630d673cb8ef423d0a8,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_45\FINAL_QDIFFCL_FIXED\result.json,False
3W,1.0,31001,formal_locked_test,FINAL_QDIFFCL_FIXED,46,N/A,COMPLETE_VALID,0.2744628631886054,0.8128490345238608,0.48672526844258635,0.9072546449772569,50.714285714285715,True,True,True,True,True,False,58.18128280000019,c5852f664e1ce563ee83d8471dd3bd1e1036c4716c6a968994b81821a12c7026,f14a73fbfd9f42d603a90f27adf99206f347badb680aad98c8edf2453ea75f2d,26ef3a5ee5547db4ccc41d57c990b095caef8b8eb1a8fbca452e24c83f59785c,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_46\FINAL_QDIFFCL_FIXED\result.json,False
3W,1.0,31001,formal_locked_test,CALIBRATED_RHO,42,0.0,COMPLETE_VALID,0.4636874280343644,0.806593872370196,0.41728752389630347,0.9247552231901935,553.5714285714286,True,True,True,True,True,False,63.735631000001376,05e0ac1e25c388d6bb48c9d16b84cd8822285e162662c56c6f098e683f512e76,f6e292f6e0cb6b9da81be00fc45998fe7b88bd727c2f599914bce50d4e0a580b,f136fe3d114407f5b00babcc7d85a357c25159ad6e67c020f2049904da53403f,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_42\CALIBRATED_RHO\result.json,False
3W,1.0,31001,formal_locked_test,CALIBRATED_RHO,43,0.0,COMPLETE_VALID,0.39988102897429334,0.8324774957927754,0.4736828000214397,0.8995451391565801,373.76190476190476,True,True,True,True,True,False,60.1984838999997,196c6511d72f0835728c543a5ab6b200c22e855813b01ed9e2bc49ca237f070d,c7ecf6320a1d7d8dd173e951ee282eb3bb5bf5c2381d5a9fe0b27e1d2691eb3d,efb9d6c0c8ca763fa7b8859d2379ced5906f90df478650c93190f41b26335446,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_43\CALIBRATED_RHO\result.json,False
3W,1.0,31001,formal_locked_test,CALIBRATED_RHO,44,0.0,COMPLETE_VALID,0.3081947610258211,0.7924653721246023,0.3964910400028586,0.9096831393107702,599.2857142857143,True,True,True,True,True,False,58.723578900000575,fc36c941877753338426888943d46513e742074712ae2a13b362e2d9b25b9f80,97372d9480b80510531e8bb25510f12713f9fe7513dd60b94fd76085442668d1,7680f25164ea9ad2ce29c922669c023fa514251fa3cd7675e6272043dec15b49,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_44\CALIBRATED_RHO\result.json,False
3W,1.0,31001,formal_locked_test,CALIBRATED_RHO,45,0.0,COMPLETE_VALID,0.4168661225557084,0.7571465458160413,0.378240517410802,0.8546372677511371,402.7142857142857,True,True,True,True,True,False,62.5234547,506b03ab2b9c4df0483930d23e2a6d1d4d8b0ee1d0e223bb346025844f99cbfd,e16afc4f3b555e20d76ed78860d119f72d71f200bdd3aa11e737d75a5e15abd5,28e6ac1bb0995df72c0f5142bb8a08ecf052fc3e03f388985afba34442d44a9b,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_45\CALIBRATED_RHO\result.json,False
3W,1.0,31001,formal_locked_test,CALIBRATED_RHO,46,0.0,COMPLETE_VALID,0.28330781371011204,0.8068407931510602,0.45983634382090727,0.9068691696862231,250.33333333333334,True,True,True,True,True,False,58.14568700000018,63c314955817a78d5193786cbd90c6c16fe319281cfa3e8a35e4436505ddf573,2616846aeec53aa20942d1df07c2c8c505797c595150585fc267f06c167c6487,c6e9ae587a27f7ad1748e228476d37e0388b919c20b03a488a000d3c2e6d0f16,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31001\model_seed_46\CALIBRATED_RHO\result.json,False
3W,1.0,31002,formal_locked_test,NO_AUG,42,N/A,COMPLETE_VALID,0.17638561522631183,0.7040501664353411,0.9479129465493544,0.7795251310514956,3453.2,True,True,True,True,True,False,70.5935413999996,bdb31fe5c15dfae7f5a28a8299fa1b05bca238ba9af60086a60ad580fa423083,37a70beb59b1ec17623aa634dcf68299f0dad9d4b1bec89cc78ef8481bff11cf,36a374c3efeed3b0cf1e87e79914beb5617a8a67f699864ce5afcffe5c24d510,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_42\NO_AUG\result.json,False
3W,1.0,31002,formal_locked_test,NO_AUG,43,N/A,COMPLETE_VALID,0.172619166785135,0.6356606342287406,0.9475666374468361,0.7290574570870593,5453.444444444444,True,True,True,True,True,False,70.18190669999967,9fbfe0e44278817fec1119d1f1825009f99853e4e4b6f3880646f5a31dfc38fe,5276ebfaaf7828249160b72f0f827700c488e8a01d7c5737850b8e31f30677f6,87e1c624b517f962629c18f09bc29a30facef725af2e19aa050a6bddb0a36f7d,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_43\NO_AUG\result.json,False
3W,1.0,31002,formal_locked_test,NO_AUG,44,N/A,COMPLETE_VALID,0.511448488535407,0.716608391805438,0.24527342185859766,0.7648268064549285,4019.6,True,True,True,True,True,False,70.73380850000103,99725e8f2c6469afc44e2bf84c787871a3a84c7b001ee0aeba3550013646f2f2,29005a27f67b40c142b64ceb3539113f15ad7d6ebf57cb0e0055002bb18026b7,485d4047794193f1271e0a78bb7f9abfc881ced2b9cfc05081053d91b576b40b,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_44\NO_AUG\result.json,False
3W,1.0,31002,formal_locked_test,NO_AUG,45,N/A,COMPLETE_VALID,0.4748255232629498,0.5309473977916275,0.3135720701708819,0.8084078528111831,3917.6666666666665,True,True,True,True,True,False,70.83607080000002,8270a2c27f4feb29265bf57f14faee9e5b19c11f87694659c4be850918b38298,a78efaee9bf18defef0ff8c07fefe223a938f10765ce1d9579932a294f1c91ae,027c95dbbdc77be14022433cfb2b65bf501677d3c8316f2da77c9544316669d4,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_45\NO_AUG\result.json,False
3W,1.0,31002,formal_locked_test,NO_AUG,46,N/A,COMPLETE_VALID,0.22711049988310444,0.6322954973751,0.9788751447463827,0.7743858567170315,4575.5,True,True,True,True,True,False,72.30755209999916,aee666ecce2a031cfea5a96350122f2b4c948b1465bf29d272b8bde923a15cdd,3bfb83435e7c89393a153d998f24a9c36d45b5f9b7670fcc0854222fec832142,0d20fadcb26f67748127a4c74dd6da04a1b3d289879103168445f1dc98ca8b3f,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_46\NO_AUG\result.json,False
3W,1.0,31002,formal_locked_test,UNIFORM_DIFFUSION,42,N/A,COMPLETE_VALID,0.20776131688599864,0.7015852027872965,0.9496336699024923,0.8412992085517524,2723.090909090909,True,True,True,True,True,False,70.60130770000069,4de9795c0f0a49da496facbb42b4253600181ae17685efbedc97037a82721828,3acef86b41aa9915f2d1fce15971baff245d346625a68b76a001d46a4beaf247,2e82f82079792d984a5ad02eb76ff84a4d8fc42db86fe809e1682b3c20d0348f,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_42\UNIFORM_DIFFUSION\result.json,False
3W,1.0,31002,formal_locked_test,UNIFORM_DIFFUSION,43,N/A,COMPLETE_VALID,0.19908561173573092,0.6432509094229646,0.9480319903033452,0.7605098160139788,4237.2,True,True,True,True,True,False,69.87803210000129,4a10c476ec57386bda6de91c80633cd243257738ca46af501fd16c673ba39302,089801204c030ce640cede354e72e64ffd4d135323a9cc1ab53606e4a70e85f0,9193bdb5b3c1216f3672ce17f24a0529d6e1db74e2bbf071dff8d6ef78b7c2f7,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_43\UNIFORM_DIFFUSION\result.json,False
3W,1.0,31002,formal_locked_test,UNIFORM_DIFFUSION,44,N/A,COMPLETE_VALID,0.13363226517817592,0.6645690999357309,0.9871108080906464,0.882310617740775,2483.0,True,True,True,True,True,False,69.92423439999948,d5e20a22f7174564a46a45543812335762db2854f439e78952022969acffb38a,fe8e79492c51c8c515d372481512a45d480161832fe52a60f56e1800d62aa4e2,86ea50c8e74bf1fb21652f3b89d29c1cf80ad2f9b8b0e9ff0078783dafbcc576,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_44\UNIFORM_DIFFUSION\result.json,False
3W,1.0,31002,formal_locked_test,UNIFORM_DIFFUSION,45,N/A,COMPLETE_VALID,0.16103228755047017,0.4731934889270707,0.9775115526552168,0.6985301675403432,4149.142857142857,True,True,True,True,True,False,71.72855499999969,0d07989dbbf9abb3ff22c1478eced852467493149f7685c2475e17a8e203b90a,6f081b3ef36d493f4f2d8f9b8521496724c0baa7b731f83900c058332f50bf45,04aa4c75988086a48534db66a7003439be543812f398bbdb53610f3e099be0dd,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_45\UNIFORM_DIFFUSION\result.json,False
3W,1.0,31002,formal_locked_test,UNIFORM_DIFFUSION,46,N/A,COMPLETE_VALID,0.1614677978507181,0.0744222937461682,0.780667294351915,0.6095179360674273,8668.25,True,True,True,True,True,False,71.50667849999991,30331fb19291e2eb7f7b90764c9b9158489bf69e49ecc309fe52f1b2193b9f00,4fb0dc4befdbc238b557478f47b0b24ae1fd7c7747392785046ba632214edbfd,8e3406842c9b4ec4a1fe12d33ce2dbd13f5c40f6fd63a9825d3f114c3dcc2c07,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_46\UNIFORM_DIFFUSION\result.json,False
3W,1.0,31002,formal_locked_test,JITTER_SCALING,42,N/A,COMPLETE_VALID,0.3351129346958526,0.7075668924058769,0.5672651320844562,0.7609209579607359,4227.6,True,True,True,True,True,False,69.96159439999974,518b34757fb415479dbbe4726da4a9f57926ce5da235557827b6a708c5755b29,86e7d7f2a8f952d840aabdfa4f3e0925eedccef20c14def8978de0764b64e2fe,4854ec744e430891800d102a297e6e30c8f2905523752e8c67c368f29c913cc9,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_42\JITTER_SCALING\result.json,False
3W,1.0,31002,formal_locked_test,JITTER_SCALING,43,N/A,COMPLETE_VALID,0.12532849974423382,0.5590540055635199,0.955044749629341,0.7806557714050776,3493.777777777778,True,True,True,True,True,False,70.42806180000116,56802a6b2ef61946df3ed93189b9fde1a7175227514aeb9a4017d75fce1cfa50,4be8c85a0d4f70185b2d36614090a4e5756a900de98bfd889bb9f0c789423daf,b30eeb0918c6f672f6540b0559e3efb769b77f5a023d1b528418e35c67d4e095,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_43\JITTER_SCALING\result.json,False
3W,1.0,31002,formal_locked_test,JITTER_SCALING,44,N/A,COMPLETE_VALID,0.37176784796343465,0.6861888091354783,0.7121630250100105,0.9577551649707061,14.727272727272727,True,True,True,True,True,False,70.18820830000004,e35c90fd086cdc125d5532947f0439e8f988009a67116cda88b4d201c26f6444,fe8e1a6d76c2674145bd08b26ca678cb3bd86109fc3198bb35b6402ca528fb85,b1346cebbf1dc6ca989eb65ec2d66de2435eacfc85e5dc0d94af7ce2cdd524fa,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_44\JITTER_SCALING\result.json,False
3W,1.0,31002,formal_locked_test,JITTER_SCALING,45,N/A,COMPLETE_VALID,0.3769633823721925,0.5674826456833989,0.7084834907957533,0.8678178641175865,3381.6666666666665,True,True,True,True,True,False,71.01042299999972,b945a189a8d935179f5050ebe909d59440ec44cf00bd8e9d4a263f6b3ef8360b,d646c50fd91b3455a6c16f5dbccbc35d90415929e6c07bf3e3d49cef99a78046,9272e600f9b0722cfb60cea1aaa386d80abda68c6a5b769364c609f4a39cce35,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_45\JITTER_SCALING\result.json,False
3W,1.0,31002,formal_locked_test,JITTER_SCALING,46,N/A,COMPLETE_VALID,0.3627901220565537,0.10160817172485115,0.547601268357088,0.487305992393874,4169.636363636364,True,True,True,True,True,False,72.75139979999949,419d7c30a695d345857976ca34576ecf7a28294bc3f1965e450809e74f831843,c316728151b3729ca8c9d6067c96af4e4ec31c2887711ce9d4f746b6734fb8b9,e6a861892f7e095deba42523873e1490820b051078bbd0e6b98d9b51577835c6,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_46\JITTER_SCALING\result.json,False
3W,1.0,31002,formal_locked_test,FINAL_QDIFFCL_FIXED,42,N/A,COMPLETE_VALID,0.1739958909932635,0.680779912746837,0.9831282534116857,0.7940178846746839,4102.363636363636,True,True,True,True,True,False,70.21807059999992,ded5642f2bc8d9bb0e21d875fbd9afdc8c55215a7eb1a2cb987169bed2529be5,ff4f5c1e55d86e452db0784f2b4bdabb76cf734467fc18cec74451e5e2f3e7d3,ee491f9fa7352fdffbe22c08f5fd976cacac6de8e74dbc822143deddaf055666,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_42\FINAL_QDIFFCL_FIXED\result.json,False
3W,1.0,31002,formal_locked_test,FINAL_QDIFFCL_FIXED,43,N/A,COMPLETE_VALID,0.08179390750985593,0.6218031029923137,0.9257816304665433,0.6997635933806147,19.0,True,True,True,True,True,False,71.6816816999999,c584dbd4af4201f54c65ed5b4f45720ed653134f1315fc93c77cada363ddfab6,e45e2b337df2b56254eb83f31c7b0b022327d092891eefdef49ffc65f34bd102,f13623e03fe528194262c2dccb4062c77d8e4d2b62eedd3ba1ab1a36968e6a49,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_43\FINAL_QDIFFCL_FIXED\result.json,False
3W,1.0,31002,formal_locked_test,FINAL_QDIFFCL_FIXED,44,N/A,COMPLETE_VALID,0.1362808535250473,0.6478958875476619,0.986732032509767,0.8815911193339501,2051.090909090909,True,True,True,True,True,False,71.11515990000044,7caff620dfdebe51a828b20b66d1c4542723223a9b33e480542ce56b79d45977,1bf233b9e5e5ee80dacfa148afc90384dac4ac373cd4f1980de6ee829ddc4666,5c079ac42e9812848f70fb94951c5d77755b0f45409241a57f2928452238ae81,outputs\qdiffcl_data_regime_v1\DATA_REGIME_GENERALIZATION_V1\3w\f100\outer_31002\model_seed_44\FINAL_QDIFFCL_FIXED\result.json,False
